,street,dir_word,township,postal_code,count_date,year,section,count_direction,one_way,avg_perweekday,latitude,longitude
2422,RUE DES ECOLES,ECOLES (RUE DES ECOLES),Aucamville,31022,2018-11-27,2018-01-01,ENTRE CHE DE L'HERS ET RUE MARTIN,VERS RUE MARTIN,False,2733.0,43.670783703600655,1.433109977462179
2423,AV EMILE DEWOITINE,DEWOITINE (AV EMILE DEWOITINE),Blagnac,31069,2014-06-10,2014-01-01,ENTRE BELLONTE ET ACCES A621,VERS BELLONTE,False,9114.0,43.624895359856644,1.3823049465781498
2424,RUE DES ECOLES,ECOLES (RUE DES ECOLES),Beauzelle,31056,2014-06-10,2014-01-01,ENTRE MUGUETS ET GLAIEULS,VERS GLAIEULS,False,257.0,43.66368078188624,1.3831191750802123
2425,BD VICTOR HUGO,HUGO (BD VICTOR HUGO),Colomiers,31149,2014-06-10,2014-01-01,ENTRE SELERY ET OUESSANT,VERS SELERY,False,4341.0,43.61397937205243,1.3097684276546657
2426,CHE DE SAINT JEAN,SAINT-JEAN (CHE DE SAINT JEAN)__COLOMIERS,Colomiers,31149,2014-11-14,2014-01-01,ENTRE MATIS ET FAUDOUAS,VERS CHEMIN DE FADOUAS,False,434.0,43.626992671605535,1.3193252010580598
2427,ALL DE LA MONTAGNE NOIRE,NOIRE (ALL DE LA MONTAGNE NOIRE),Colomiers,31149,2014-11-14,2014-01-01,ENTRE SASSAULT ET NAUROUZE,VERS NAUROUZE,False,299.0,43.61012413119686,1.3475681292250128
2428,AV DE CASSELARDIT,CASSELARDIT (AV DE CASSELARDIT),Toulouse,31555,2014-11-14,2014-01-01,ENTRE ANCELY ET VIVARAIS,VERS ANCELY,False,3124.0,43.60880074870405,1.4067631935227503
2429,RUE RAYMOND CORRAZE,CORRAZE (RUE RAYMOND CORRAZE),Toulouse,31555,2015-02-27,2015-01-01,ENTRE JEAN RIEUX ET GARIN,VERS TERRASSE,False,807.0,43.58094352929774,1.485950601669178
2430,AV DE MURET,MURET (AV DE MURET),Toulouse,31555,2015-02-02,2015-01-01,ENTRE DEODAT DE SEVERAC ET BENEZET,VERS BENEZET,False,3243.0,43.590074961425664,1.4324858681422137
2431,RUE DU NEGOCE,NEGOCE (RUE DU NEGOCE),Saint-Orens-De-Gameville,31506,2017-06-20,2017-01-01,ENTRE RUE LIBRE ECHANGE ET RUE PARTANAIS,VERS RUE DU LIBRE ECHANGE,False,766.0,43.56275531278474,1.5287963999033256
2432,ALL DE NAUROUZE,NAUROUZE (ALL DE NAUROUZE),Colomiers,31149,2017-06-12,2017-01-01,ENTRE RUE DU MINERVOIS ET ALL MONTS D'OLMES,VERS RUE DES SPORTS,False,4988.0,43.60919882167748,1.346628306379607
2433,RUE D AUCH,AUCH (RUE D AUCH),Colomiers,31149,2017-06-12,2017-01-01,ENTRE CHE DES BOURDETTES ET RUE DES SPORTS,VERS RUE DES SPORTS,False,4796.0,43.608134472941785,1.3386751785234108
2434,CHE MERIC,MERIC (CHE MERIC),Aucamville,31022,2017-04-21,2017-01-01,ENTRE RUE DES SERRES ET IMP DES LILAS,VERS AV DU PARC,False,433.0,43.675773125522966,1.4348638369611302
2435,RUE FIEUX,FIEUX (RUE FIEUX),Toulouse,31555,2017-04-20,2017-01-01,2017ENTRE RUE SAINT SAENS ET RUE GAMELIN,VERS RUE GAMELIN,False,1311.0,43.58269769161411,1.4202472755552267
2436,RUE CLAUDIUS ROUGENET,ROUGENET (RUE CLAUDIUS ROUGENET),Toulouse,31555,2017-04-20,2017-01-01,,,True,2893.0,43.600628483453356,1.486581037480577
2437,AV DE TOULOUSE,TOULOUSE (AV DE TOULOUSE),Gratentour,31230,2017-05-15,2017-01-01,ENTRE RUE DE LA GARENNE ET RUE DE LA VIEILL,VERS RUE DE LA GARENNE,False,3279.0,43.717651268305396,1.4326341741246795
2438,AV DE LA ROSERAIE,ROSERAIE (AV DE LA ROSERAIE),Toulouse,31555,2017-09-07,2017-01-01,ENTRE RUE DES PRIMEVERES ET RUE DES CAPUCIN,VERS CHE MICHOUN,False,152.0,43.62370968415373,1.468777702494414
